ds,N,cycles_mean,cycles_stddev,instructions_mean,cache_misses_mean,branch_misses_mean
BST,524288,1185432015,17662937,431630299,12758428,13204620
BST,1048576,3046494890,26504506,895944793,40077916,28592839
BST,2097152,6808006893,67399268,1823679091,103607441,61457301
BST,4194304,15609649659,120194302,3730654463,264936455,131674137
BST,8388608,34643468999,166288651,7621103569,611818064,280317909
SortedArray,524288,142359132,825683,115673707,414675,4505556
SortedArray,1048576,285353884,370960,235667974,510304,9348926
SortedArray,2097152,587258080,1761774,484718349,1469890,19232716
SortedArray,4194304,1231867043,862307,985221720,3400964,41168751
SortedArray,8388608,2554094897,1787866,2022894095,8007776,85702501
LinkedList,524288,98516683,197033,225724064,1302576,65439
LinkedList,1048576,193321177,405974,448220471,2734888,112749
LinkedList,2097152,382198819,879057,893196735,5531058,212825
LinkedList,4194304,759096507,1138645,1783235850,11215760,406197
LinkedList,8388608,1518237125,2125532,3565375082,22567605,785566
Heap,524288,38678823,158583,59966294,243730,418958
Heap,1048576,73584052,515088,116633049,343622,815349
Heap,2097152,146620663,733103,230079754,1397154,1614639
Heap,4194304,292598849,1199655,456935546,3710736,3206838
Heap,8388608,581816385,698180,910517244,8287047,6377274
HashMap,524288,312724042,3221058,265131287,5307495,232432
HashMap,1048576,667711566,1201881,527546788,12633191,464260
HashMap,2097152,1417487951,2551478,1052738257,27600457,930445
HashMap,4194304,2947834584,7369586,2103634049,57491922,1834043
HashMap,8388608,6078377806,12156756,4209708311,117853228,3672830
Vector,524288,23104316,78555,48408072,116772,37106
Vector,1048576,43362437,73716,93579964,236267,57849
Vector,2097152,84127469,294446,183958303,515064,98582
Vector,4194304,170817618,3313862,364684776,1158505,181477
Vector,8388608,337644127,2701153,726359943,2451718,344989
Deque,524288,24520137,245201,52357760,125599,48562
Deque,1048576,45297118,285372,101544320,240424,80996
Deque,2097152,88415268,291770,200027352,624796,144978
Deque,4194304,174724125,541645,396982281,1413724,273235
Deque,8388608,345117716,310606,790756144,2902283,528258
RBTree,524288,1098631293,8020008,376266051,17472715,2866770
RBTree,1048576,2602000914,8846803,759347443,47039445,5748836
RBTree,2097152,6003843369,15009608,1536269866,116713088,11541964
RBTree,4194304,14264867708,142648677,3137319006,287264018,23342555
RBTree,8388608,33767221281,378192878,6417607460,698605821,47305747
AoS,524288,101024182,990037,239757736,1118506,126595
AoS,1048576,198480492,2024501,476349644,2200648,236694
AoS,2097152,393818015,4568289,949546032,4328556,459228
AoS,4194304,781093259,5780090,1895158075,8500937,883358
AoS,8388608,1546361988,10051353,3788946154,16952804,1765307
SoA,524288,102068422,836961,236180468,743739,127016
SoA,1048576,201545417,1813909,470363253,1441407,233837
SoA,2097152,388501387,2369858,937356901,2805678,448639
SoA,4194304,778342333,5759733,1871602314,5614001,880076
SoA,8388608,1655203731,21021087,3744156072,11391795,1759619
